,Date,Time,Current,RPM
192,2019-12-02,14:48:33.004561,['-2.59'],['1067.81']
193,2019-12-02,14:48:33.052415,['-2.37'],['1087.15']
194,2019-12-02,14:48:33.084312,['2.59'],['1107.62']
195,2019-12-02,14:48:33.132408,['-0.43'],['1128.67']
196,2019-12-02,14:48:33.180176,['-2.83'],['1148.99']
197,2019-12-02,14:48:33.228021,['2.63'],['1163.69']
198,2019-12-02,14:48:33.260136,['-1.87'],['1163.92']
199,2019-12-02,14:48:33.307761,['1.72'],['1161.44']
200,2019-12-02,14:48:33.355589,['-1.65'],['1154.29']
201,2019-12-02,14:48:33.387795,['1.71'],['1154.07']
202,2019-12-02,14:48:33.435561,['-1.26'],['1158.97']
203,2019-12-02,14:48:33.483189,['-0.68'],['1157.18']
204,2019-12-02,14:48:33.515479,['2.01'],['1160.99']
205,2019-12-02,14:48:33.563104,['-2.10'],['1162.34']
206,2019-12-02,14:48:33.610864,['1.99'],['1159.42']
207,2019-12-02,14:48:33.643127,['-1.85'],['1157.85']
208,2019-12-02,14:48:33.690866,['1.95'],['1165.27']
209,2019-12-02,14:48:33.738582,['-2.60'],['1187.65']
210,2019-12-02,14:48:33.770751,['2.68'],['1207.49']
211,2019-12-02,14:48:33.818304,['-2.64'],['1234.06']
212,2019-12-02,14:48:33.850399,['2.72'],['1251.83']
213,2019-12-02,14:48:33.898042,['-3.03'],['1268.77']
214,2019-12-02,14:48:33.930330,['-2.13'],['1290.88']
215,2019-12-02,14:48:33.962013,['2.69'],['1312.34']
216,2019-12-02,14:48:34.009813,['-1.53'],['1314.92']
217,2019-12-02,14:48:34.041943,['-1.82'],['1310.04']
218,2019-12-02,14:48:34.073984,['1.73'],['1304.92']
219,2019-12-02,14:48:34.121692,['1.86'],['1298.42']
220,2019-12-02,14:48:34.153647,['-2.07'],['1304.35']
221,2019-12-02,14:48:34.201139,['-1.78'],['1308.61']
222,2019-12-02,14:48:34.233162,['2.12'],['1310.04']
223,2019-12-02,14:48:34.265423,['1.83'],['1314.06']
224,2019-12-02,14:48:34.313147,['-2.52'],['1318.97']
225,2019-12-02,14:48:34.345162,['-2.57'],['1339.29']
226,2019-12-02,14:48:34.377141,['3.23'],['1352.87']
227,2019-12-02,14:48:34.409256,['2.70'],['1377.09']
228,2019-12-02,14:48:34.456643,['0.90'],['1394.38']
229,2019-12-02,14:48:34.488637,['-3.15'],['1412.76']
230,2019-12-02,14:48:34.520753,['-2.79'],['1435.75']
231,2019-12-02,14:48:34.552730,['-2.76'],['1450.68']
232,2019-12-02,14:48:34.584534,['-2.73'],['1462.70']
233,2019-12-02,14:48:34.616671,['-2.36'],['1468.07']
234,2019-12-02,14:48:34.664298,['-1.88'],['1464.49']
235,2019-12-02,14:48:34.696111,['-1.63'],['1470.23']
236,2019-12-02,14:48:34.728061,['-1.36'],['1464.13']
237,2019-12-02,14:48:34.760100,['-0.66'],['1460.56']
238,2019-12-02,14:48:34.792083,['0.34'],['1457.73']
239,2019-12-02,14:48:34.823546,['1.36'],['1460.21']
240,2019-12-02,14:48:34.855639,['2.29'],['1472.03']
241,2019-12-02,14:48:34.887728,['2.86'],['1482.58']
242,2019-12-02,14:48:34.919805,['3.22'],['1498.13']
243,2019-12-02,14:48:34.951562,['3.21'],['1519.37']
244,2019-12-02,14:48:34.983668,['2.22'],['1534.13']
245,2019-12-02,14:48:35.031040,['-0.74'],['1547.59']
246,2019-12-02,14:48:35.047289,['-2.45'],['1558.44']
247,2019-12-02,14:48:35.079023,['-2.13'],['1555.21']
248,2019-12-02,14:48:35.111206,['-2.03'],['1558.85']
249,2019-12-02,14:48:35.143129,['-2.16'],['1561.28']
250,2019-12-02,14:48:35.175128,['-1.10'],['1557.23']
251,2019-12-02,14:48:35.207084,['1.84'],['1546.39']
252,2019-12-02,14:48:35.238832,['1.97'],['1539.65']
253,2019-12-02,14:48:35.270715,['1.94'],['1552.39']
254,2019-12-02,14:48:35.302764,['2.24'],['1552.39']
255,2019-12-02,14:48:35.334735,['2.27'],['1554.81']
256,2019-12-02,14:48:35.366575,['-0.29'],['1551.19']
257,2019-12-02,14:48:35.398592,['-2.30'],['1552.80']
258,2019-12-02,14:48:35.430331,['-2.74'],['1587.30']
259,2019-12-02,14:48:35.462364,['-3.24'],['1598.72']
260,2019-12-02,14:48:35.493967,['-3.00'],['1611.17']
261,2019-12-02,14:48:35.525814,['2.83'],['1625.58']
262,2019-12-02,14:48:35.557730,['3.03'],['1639.34']
263,2019-12-02,14:48:35.589911,['2.40'],['1659.75']
264,2019-12-02,14:48:35.621804,['-2.96'],['1668.06']
265,2019-12-02,14:48:35.653660,['-2.79'],['1674.11']
266,2019-12-02,14:48:35.669895,['2.04'],['1682.56']
267,2019-12-02,14:48:35.701493,['2.33'],['1674.57']
268,2019-12-02,14:48:35.733229,['-1.86'],['1675.04']
269,2019-12-02,14:48:35.765146,['-2.23'],['1675.04']
270,2019-12-02,14:48:35.796985,['0.87'],['1663.89']
271,2019-12-02,14:48:35.828884,['2.17'],['1662.51']
272,2019-12-02,14:48:35.860774,['1.46'],['1673.17']
273,2019-12-02,14:48:35.876861,['-2.16'],['1669.45']
274,2019-12-02,14:48:35.909063,['-2.51'],['1673.17']
275,2019-12-02,14:48:35.941145,['2.19'],['1665.28']
276,2019-12-02,14:48:35.972706,['2.46'],['1666.67']
277,2019-12-02,14:48:36.004668,['-2.06'],['1667.13']
278,2019-12-02,14:48:36.036788,['-2.37'],['1672.71']
279,2019-12-02,14:48:36.068621,['0.78'],['1669.45']
280,2019-12-02,14:48:36.084624,['2.24'],['1662.05']
281,2019-12-02,14:48:36.116536,['1.57'],['1666.67']
282,2019-12-02,14:48:36.148304,['-2.22'],['1665.28']
283,2019-12-02,14:48:36.180062,['-2.51'],['1668.98']
284,2019-12-02,14:48:36.212175,['2.12'],['1673.17']
285,2019-12-02,14:48:36.244250,['2.45'],['1662.51']
